order_id,customer_id,restaurant_name,cuisine_type,cost_of_the_order,day_of_the_week,rating,food_preparation_time,delivery_time
1477147,337525,Shake Shack,Korean,30.75,Weekend,5,25,20
1477685,358141,Grand Lux Cafe,American,12.08,Weekend,5,25,23
1477070,66393,Cafe Habana,Mexican,12.23,Weekday,5,23,28
1477334,106968,Blue Ribbon Fried Chicken,American,29.2,Weekend,3,25,15
1478249,76942,Dirty Bird to Go,American,11.59,Weekday,4,25,24
1477224,147468,Tamarind TriBeCa,Indian,25.22,Weekday,3,20,24
1477737,157711,The Meatball Shop,Italian,6.07,Weekend,5,28,21 #
1477859,89574,Barbounia,Mediterranean,5.97,Weekday,3,33,30
1477174,121706,Anjappar Chettinad,Indian,16.44,Weekday,5,21,26
1477311,39705,Bukhara Grill,Indian,7.18,Weekday,5,29,26
1477895,143926,Big Wong Restaurant Œ_¤¾Ñ¼,Chinese,5.92,Weekday,5,34,28
1478437,221206,Grand Lux Cafe,American,8.1,Weekend,5,23,22
1476966,129969,Blue Ribbon Fried Chicken,American,24.3,Weekend,5,23,17
1477449,104548,Pylos,Mediterranean,11.3,Weekend,3,24,23
1478198,62667,Lucky's Famous Burgers,American,12.13,Weekday,5,23,30
1477414,66222,Shake Shack,American,16.2,Weekend,5,33,25
1477486,104555,Sushi of Gari,Japanese,16.98,Weekend,5,30,16
1477373,139885,Blue Ribbon Sushi Izakaya,Japanese,33.03,Weekend,5,21,22
1477138,47280,RedFarm Hudson,Chinese,14.12,Weekend,4,25,24
1477354,67487,Blue Ribbon Sushi,Japanese,16.2,Weekend,4,35,26
1478296,250494,Grand Lux Cafe,American,24.2,Weekend,4,21,24
1478226,137565,Shake Shack,American,15.91,Weekend,5,25,20
1478287,150599,Shake Shack,American,29.1,Weekday,5,21,30
1478014,54630,Tortaria,Mexican,8.92,Weekend,5,33,16
1476714,363783,Cafe Mogador,Middle Eastern,15.86,Weekday,5,32,29
1476693,41877,Cafe Mogador,Middle Eastern,29.1,Weekday,5,20,29
1477737,371590,The Meatball Shop,Italian,21.88,Weekday,5,24,27 #
1477737,175290,Otto Enoteca Pizzeria,Italian,14.02,Weekend,5,24,16 #
1476889,149984,Sushi of Gari 46,Japanese,12.18,Weekday,5,20,29
1478289,318874,Grand Lux Cafe,American,31.33,Weekend,5,28,25
1477699,302790,Klong,Thai,29.05,Weekend,5,35,24
1476855,317794,5 Napkin Burger,American,8.39,Weekday,5,35,24
1477748,105349,TAO,Japanese,9.12,Weekend,5,34,18
1477737,181782,Parm,Italian,29.1,Weekend,5,30,26 #
1478310,65224,Sushi Samba,Japanese,15.47,Weekend,5,32,26
1477737,148649,Grand Lux Cafe,Italian,16.01,Weekday,4,23,31 #
1476557,118709,The Meatball Shop,Italian,24.3,Weekday,4,31,29 #
1477999,208020,Haru Gramercy Park,Japanese,29.83,Weekday,5,20,32
1476891,220693,Shake Shack,American,19.89,Weekend,5,27,19
1477425,378482,Chipotle Mexican Grill $1.99 Delivery,Mexican,19.35,Weekend,4,21,18
1478143,337525,TAO,Japanese,33.22,Weekend,5,23,19
1477267,133637,RedFarm Broadway,Chinese,24.25,Weekend,5,22,15
1477728,107909,Cafeteria,American,16.44,Weekend,5,33,22
1476908,365237,Five Guys Burgers and Fries,American,22.75,Weekend,5,30,20
1476557,322162,The Meatball Shop,Italian,6.74,Weekend,5,29,23 #
1476930,198802,Grand Lux Cafe,American,29.05,Weekend,5,22,30
1477621,122864,Sarabeth's East,American,13.78,Weekend,4,34,24
1478354,52037,Blue Ribbon Fried Chicken,American,19.89,Weekday,5,27,24
1477737,81110,Grand Lux Cafe,Italian,16.93,Weekend,5,33,21 #
1477883,91817,Blue Ribbon Fried Chicken,American,29.39,Weekend,5,27,28
1477205,112036,TAO,Japanese,20.23,Weekend,5,22,20
1478107,73895,RedFarm Broadway,Chinese,29.1,Weekend,5,22,23
1477760,130507,Jack's Wife Freda,Mediterranean,22.75,Weekend,3,35,29
1476562,129486,Mamoun's Falafel,Mediterranean,14.12,Weekend,3,31,15
1477692,313340,Sushi of Gari 46,Japanese,14.6,Weekday,3,24,24
1477889,177250,RedFarm Hudson,Chinese,12.23,Weekday,5,25,33
1477243,176234,Prosperity Dumpling,Chinese,14.02,Weekend,5,20,30
1477560,371677,Blue Ribbon Fried Chicken,American,6.79,Weekday,5,33,28
1476896,388918,Blue Ribbon Fried Chicken,American,24.25,Weekend,5,28,21
1478327,68551,Blue Ribbon Sushi Bar & Grill,Japanese,33.03,Weekend,5,33,20
1476557,152786,Grand Lux Cafe,Italian,31.38,Weekend,4,23,27 #
